Date,State,City(Country),Address,killed,injured
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
"December 31, 2017",Illinois,Urbana,1365 N Lincoln Ave,0,1
"December 31, 2017",Georgia,Atlanta,Glenwood Ave,0,1
"December 31, 2017",Washington,Marysville,5115 84th St NE,0,0
"December 31, 2017",Michigan,Ypsilanti,Cliffs Dr,1,0
"December 31, 2017",Texas,Lubbock,6002 Slide Rd,0,0
"December 31, 2017",Virginia,Chesapeake,600 block of Happy Acres,0,1
"December 31, 2017",Arkansas,Fayetteville,3215 N Northhills Blvd,0,0
"December 31, 2017",Oklahoma,Oklahoma City,1111 S Eastern Ave,0,1
"December 31, 2017",Florida,Orlando,I-4 and Kirkman Rd,0,3
"December 31, 2017",Minnesota,Stillwater (Oak Park Heights),14800 block of 57th St N,0,0
"December 31, 2017",Texas,San Antonio,1600 block of Mardell St,1,0
"December 31, 2017",Arkansas,North Little Rock,5612 John F Kennedy Blvd,0,0
"December 31, 2017",North Carolina,Engelhard,N Lake Rd,0,0
"December 31, 2017",Colorado,Denver,214 S Federal Blvd,1,0
"December 31, 2017",Missouri,Florissant,11300 block of Bristol Rock Rd,1,0
"December 31, 2017",New York,Brooklyn,E 15th St and Ave S,0,1
"December 31, 2017",California,Northridge,8644 Balboa Blvd,1,0
"December 31, 2017",South Carolina,Florence,500 S Ballard St,1,0
"December 31, 2017",Missouri,Columbia,1612 N Providence Rd,0,0
"December 31, 2017",Georgia,Mableton,Felton Ln,0,0
"December 31, 2017",California,Bakersfield,1101 E Belle Ter,0,0
"December 31, 2017",Texas,Kilgore,1910 Meadowgreen Dr,1,0
"December 31, 2017",Tennessee,Nashville,I 65 and Trinity Lane,1,1
"December 31, 2017",Alabama,Huntsville,1409 Lancewood Dr NW,0,1
"December 31, 2017",North Carolina,Elizabethtown,968 Jacobs Loop Rd,0,1
