Incident Date,State,City/County,Address,# killed,# injured
"May 15, 2019",Wisconsin,Appleton,222 N Oneida St,0,4
"May 14, 2019",Oregon,Salem,500 block of Highland Ave NE,0,1
"May 11, 2019",Nebraska,South Sioux City,1313 Dakota Ave,1,1
"May 11, 2019",Georgia,Savannah,2300 block of Bull St,2,1
"May 5, 2019",Mississippi,Biloxi,170 Porter Ave,1,0
"May 5, 2019",Indiana,Indianapolis,8801 E 25th St,0,1
"May 4, 2019",North Carolina,Mooresville,W Plaza Dr,2,0
"May 3, 2019",Mississippi,Prentiss,MS-42,0,1
"May 2, 2019",New Jersey,Morristown,500 W Hanover Ave,0,1
"May 2, 2019",Maryland,Parkville,3006 Linwood Ave,1,1
"April 30, 2019",Texas,Seagraves,9th St and Ave J,0,2
"April 29, 2019",Kansas,Sterling,917 N Broadway Ave,2,2
"April 27, 2019",Illinois,Chicago,100 block of S Kenton Ave,0,1
"April 27, 2019",Texas,Vernon,1500 block of Mansard St,0,2
"April 26, 2019",Georgia,Cartersville,188 Picklesimer Rd,0,1
"April 25, 2019",Iowa,Davenport,1600 block of W 17th St,0,1
"April 23, 2019",North Carolina,Bethel,2833 Ellen Farm Rd,0,1
"April 21, 2019",California,Montebello,1600 W Beverly Blvd,1,0
"April 20, 2019",Mississippi,Greenville,N/A,0,1
"April 20, 2019",California,Los Angeles,5152 Long Beach Ave,0,2
"April 20, 2019",California,Elk Grove,Laguna Blvd and Franklin Blvd,0,3
"April 18, 2019",New York,New York (Manhattan),W 187th St and Wadsworth Ave,1,1
"April 18, 2019",Kansas,Russell,1225 S Fossil St,0,1
"April 17, 2019",Michigan,Flint,1300 block of Westlane Dr,1,1
"April 17, 2019",Florida,Miami (Medley),9700 NW 97th Ave,0,1
"April 17, 2019",Missouri,Kansas City,6885 NE Pleasant Valley Rd,0,1
"April 17, 2019",Idaho,Lewiston,3513 11th Street,1,1
"April 16, 2019",Connecticut,New Haven,Argyle St and Dixwell Ave,0,2
"April 13, 2019",Oregon,Portland (Milwaukie),SE Harrison St and SE 42nd Ave,0,2
"April 13, 2019",Washington,Kalama,100 block of Fallert Rd,2,0
"April 13, 2019",Massachusetts,Springfield,1218 State St,0,2
"April 12, 2019",Mississippi,Byhalia,32 Hunters Run Rd,1,1
"April 11, 2019",Georgia,Savannah,1010 Carl Griffin Dr,0,1
"April 11, 2019",Louisiana,New Orleans,3327 Tulane Ave,0,1
"April 11, 2019",Arizona,Phoenix,11000 block of S 48th St,1,2
"April 11, 2019",South Carolina,Clinton,22725 US-76,0,2
"April 11, 2019",Florida,Deltona,2500 block of Ludlow St,1,1
"April 9, 2019",Colorado,Pueblo,2029 Acero Ave,1,1
"April 7, 2019",Tennessee,Greeneville,144 Mason St,1,2
"April 7, 2019",California,Hawthorne,14400 block of South Aviation Blvd,0,2
"April 6, 2019",Texas,Edinburg,1500 block of S Maltese St,0,1
"April 4, 2019",Georgia,Stockbridge,300 block of Eagle Ct,3,2
"April 3, 2019",Louisiana,Abbeville,600 block of N Gertrude St,0,1
"April 2, 2019",Oklahoma,Oologah,N/A,0,1
"April 2, 2019",Ohio,Fairborn,200 block of Archer Dr,0,1
"April 2, 2019",Colorado,Silverton,US-550,1,1
"April 1, 2019",Georgia,Union City,Highpoint Rd,1,1
"March 31, 2019",Oregon,Springfield,3900 block of Olympic St,1,2
"March 30, 2019",Texas,Frisco,6805 Lebanon Rd,0,1
"March 30, 2019",Florida,Miami (North Miami),NE 123rd St and Second Ave,1,1
"March 29, 2019",Florida,Saint Petersburg,3rd Ave S and 27th St,1,1
"March 29, 2019",Florida,Brevard (county),N/A,0,1
"March 27, 2019",Louisiana,Gretna,151 Westbank Expy,2,1
"March 27, 2019",California,Inglewood,315 S Market St,1,2
"March 27, 2019",Pennsylvania,Reading,633 Court St,0,1
"March 22, 2019",Texas,San Elizario,1000 block of Chicken Ranch Rd,1,0
"March 20, 2019",Nevada,Reno,735 S Meadows Pkwy,0,2
"March 19, 2019",Washington,Kittitas,Pierce St and 6th Ave,2,1
"March 16, 2019",Illinois,Glen Carbon,5 Illini Dr,1,1
"March 15, 2019",Nevada,Las Vegas,3600 S Las Vegas Blvd,1,1
"March 14, 2019",Texas,Florence,810 Co Rd 240,0,1
"March 14, 2019",Montana,Missoula,5145 Airway Blvd,1,3
"March 12, 2019",Michigan,Kalamazoo,167 E Kalamazoo Ave,1,1
"March 9, 2019",Illinois,Chicago,2700 block of W Potomac Ave,0,1
"March 7, 2019",Ohio,Columbus,2342 Hamilton Ave,0,1
"March 7, 2019",Massachusetts,Quincy,98 Moon Island Rd,0,2
"March 7, 2019",Illinois,Rockford,747 N Bell School Rd,1,1
"March 6, 2019",Nevada,Las Vegas,5757 Wayne Newton Blvd,0,1
"March 5, 2019",Indiana,Fort Wayne,7602 Patriot Crossing,0,1
"March 5, 2019",Missouri,Kansas City,2645 Brooklyn Ave,0,1
"March 5, 2019",Texas,Midland,3306 Eagle Cove,1,0
"February 26, 2019",New York,Ellenville,Center St and Mill St,0,1
"February 23, 2019",Kentucky,Glasgow,St. Mary’s Ct,0,1
"February 23, 2019",Tennessee,Blountville,3606 US 11W,2,0
"February 22, 2019",Massachusetts,Boston,102 Gerard St,1,1
"February 21, 2019",Florida,Loxahatchee,21500 FL-80,0,1
"February 18, 2019",Kentucky,Hopkinsville,North Dr and Sanderson Dr,0,1
"February 16, 2019",Virginia,Bluefield,US 460 and SR 720,0,1
"February 15, 2019",Illinois,Aurora,641 Archer Ave,6,6
"February 15, 2019",Alabama,Auburn,1106 Opelika Rd,2,1
"February 14, 2019",Minnesota,Nevis,110 Bunyan Trails Dr,3,1
"February 12, 2019",Texas,San Antonio,5039 Hamilton Wolfe Rd,0,2
"February 12, 2019",New York,Corona (Queens),9162 120th St,1,2
"February 11, 2019",Texas,Huntsville,810 Farm to Market Rd 2821,1,0
"February 9, 2019",Oklahoma,Oklahoma City,5401 Tinker Diagonal St,1,2
"February 7, 2019",Idaho,Lenore,18985 220 Rd S,0,1
"February 7, 2019",Ohio,Barberton (New Franklin),5400 block of Menlo Ct,1,1
"February 6, 2019",Wisconsin,Milwaukee,2900 block of S 12th St,1,0
"February 4, 2019",Virginia,Farmville,1536 Cumberland Rd,2,0
