Incident Date,State,City/County,Address,# killed,# injured
"December 30, 2016",Pennsylvania,Hesston,Seven Points Rd and Bakers Hollow Rd,2,0
"December 29, 2016",Texas,Weatherford,2150 Tin Top Road,0,2
"December 29, 2016",Maryland,Chestertown,200 block of Edmore Road,1,1
"December 28, 2016",Mississippi,Jackson,2700 block of Meadows Drive,0,1
"December 25, 2016",Oregon,Portland (King City),11950 SW King James Place,2,1
"December 22, 2016",Texas,Bryan,Duncan Ave and S College Ave,0,1
"December 21, 2016",Alabama,Saraland,1118 Martha Alleyn Dr,1,1
"December 18, 2016",Georgia,Dublin,200 Industrial Blvd,0,1
"December 16, 2016",Oregon,Dallas,321 NE Kings Valley Hwy,1,1
"December 15, 2016",Washington,Mount Vernon,Laventure Rd and Fir St,0,2
"December 13, 2016",Tennessee,Nashville,150 West Trinity Ln,1,1
"December 12, 2016",Georgia,Fort Valley,GA 42 and Walton Rd,1,2
"December 12, 2016",Georgia,Lavonia,14265 Jones St,0,2
"December 12, 2016",Louisiana,Lafayette,350 Michael Ann Dr,0,4
"December 12, 2016",Georgia,Byron,6750 Ga. 42 South,1,2
"December 10, 2016",Indiana,Greencastle,4400 E Co Rd 375 S,0,2
"December 9, 2016",North Carolina,Leland,1000 block of Bridgeport Way,1,1
"December 8, 2016",Oklahoma,Oklahoma City,NW 10th St and Rockwell Ave,0,0
"December 7, 2016",Georgia,Americus,1800 S Lee St,3,0
"December 3, 2016",Louisiana,Metairie,1000 block of Severn Avenue,1,1
"December 1, 2016",Tennessee,Chattanooga,1000 block of Mission Ave,0,1
"December 1, 2016",Arizona,Tucson,4750 South Campbell Avenue,1,2
"November 30, 2016",Colorado,Monument,Gypsum Canyon Ct,0,1
"November 30, 2016",North Carolina,Raleigh,1230 University Crt,0,2
"November 30, 2016",Washington,Tacoma,413 East 52nd Street,2,0
"November 29, 2016",New York,Pine Plains,262 Co Rte 7,0,1
"November 29, 2016",Maryland,Glen Burnie,8000 block of Phirne Rd,0,3
"November 28, 2016",Texas,Houston,10235 Almeda Genoa Rd,1,1
"November 28, 2016",Illinois,Chicago,4500 block of West Washington,1,2
