Incident Date,State,City/County,Address,# killed,# injured
"September 30, 2017",Indiana,Columbus,IN-11,1,1
"September 29, 2017",Georgia,Cedartown,123 Santa Claus Rd,1,1
"September 28, 2017",Ohio,Willoughby (Willoughby Hills),2571 Som Center Rd,0,3
"September 26, 2017",Florida,Orange Park,1075 Oakleaf Plantation Pkwy,1,1
"September 25, 2017",New York,Yonkers,Rumsey Rd and Park Hill Ave,0,2
"September 24, 2017",Indiana,New Castle,1700 block of Columbus St,1,1
"September 23, 2017",Connecticut,New Haven,638 Elm St,0,4
"September 23, 2017",Illinois,Rockford,S Main,0,1
"September 23, 2017",Oklahoma,Ellis (county),N/A,0,1
"September 23, 2017",California,La Verne,2421 Foothill Blvd,0,2
"September 22, 2017",Virginia,Monroe,3378 S Amherst Hwy,0,2
"September 22, 2017",Wyoming,Cheyenne,935 6th Street,0,1
"September 20, 2017",Arizona,Phoenix,43rd Ave and Bethany Home Rd,0,2
"September 19, 2017",Virginia,Henrico (Tuckahoe),September Dr and Lakeway Ct,0,1
"September 19, 2017",North Carolina,Elizabeth City,305 E Main St,0,1
"September 18, 2017",Oklahoma,Enid,100 N 17th,0,3
"September 18, 2017",Texas,De Kalb,N/A,0,3
"September 17, 2017",Oklahoma,Chickasha,3507 S 4th St,0,3
"September 17, 2017",Texas,De Kalb,4600 block of FM 44,0,2
"September 12, 2017",Oregon,Creswell,Goshen-Divide Hwy and England Rd,0,1
"September 12, 2017",Minnesota,Saint Paul,2004 Randolph Ave,0,1
"September 9, 2017",Pennsylvania,Whitehall,4700 block of Main St,0,1
"September 9, 2017",California,Arcata,9th St and H St,1,1
"September 8, 2017",Wisconsin,New London,E9133 Manske Rd,0,1
"September 7, 2017",California,Huntington Beach,Delaware St and Utica Ave,0,3
"September 7, 2017",California,Sacramento,3300 block of 27th Ave,1,2
"September 6, 2017",Arizona,Mesa,Loop 202,1,2
"September 5, 2017",Connecticut,Norwalk,1 Monroe St,0,1
"September 3, 2017",Nebraska,Waterloo,1400 block of S 240th,0,2
"September 1, 2017",Missouri,Saint Louis,800 block of Dickson St,0,3
"August 31, 2017",New Jersey,Jersey City,9 Bayview Ave,0,1
"August 30, 2017",California,Sacramento,2600 Auburn Blvd,2,2
"August 30, 2017",Florida,Coral Gables,Salzedo St and SW Eighth St,0,1
"August 30, 2017",California,Bakersfield,601 Pacheco Rd,1,2
"August 29, 2017",California,Santa Clara,400 North Bluff Street,0,1
"August 29, 2017",Louisiana,Simsboro,1 Tiger Dr,1,1
"August 29, 2017",Utah,Santa Clara,2500 block of Santa Clara Dr,0,1
"August 27, 2017",New Mexico,Farmington,4220 Hudson St,1,1
"August 26, 2017",Arkansas,Pine Bluff,1 Harbor Oaks Dr,1,2
"August 18, 2017",Florida,Kissimmee,Palmway St and Cypress St,2,0
"August 18, 2017",Florida,Jacksonville,5176 Seaboard Avenue,1,2
"August 18, 2017",Pennsylvania,Fairchance,58 W Church St,1,2
"August 15, 2017",New York,Bronx,E 138th St and 3rd Ave,0,2
"August 10, 2017",New York,Brooklyn,149 Chestnut St,1,1
"August 8, 2017",Alabama,Huntsville,3400 block of Elizabeth St,0,1
"August 6, 2017",Missouri,Clinton,100 block of E Green St,1,1
"August 5, 2017",Ohio,New Straitsville,123 Main Street,1,1
"August 5, 2017",Indiana,Indianapolis,125 S Pennsylvania St,0,1
"August 5, 2017",West Virginia,Parkersburg,N/A,0,2
"August 5, 2017",Georgia,Adel,600 block of N Hutchinson Ave,0,1
"August 3, 2017",Georgia,Decatur,1150 Maple Walk Circle,1,1
"August 2, 2017",Louisiana,Coushatta,Banks Street,1,1
"August 1, 2017",California,Oregon House,9019 Marysville Rd,1,2
"August 1, 2017",Florida,Orlando,1 Jeff Fuqua Blvd,0,1
"August 1, 2017",Nevada,Las Vegas,4100 block of W Tompkins Ave,1,2
"July 31, 2017",California,Los Banos,2241 Gilbert Gonzalez Jr Dr,1,2
"July 31, 2017",Ohio,Lyons,OH 109 and OH 120,0,1
"July 28, 2017",New York,Schenectady (Glenville),10 Pashley Rd,1,1
"July 28, 2017",South Carolina,Columbia,6429 Bishop Ave,1,0
"July 28, 2017",California,Ventura,1425 Dowell Drive,0,1
"July 28, 2017",Mississippi,Biloxi,East Jordan Road,0,1
"July 27, 2017",Indiana,Indianapolis (Homecroft),6649 Madison Ave,1,1
"July 26, 2017",Texas,San Antonio,6100 block of Ingram Road,1,1
"July 25, 2017",District of Columbia,Washington,N/A,0,1
"July 25, 2017",Virginia,Richmond,218 E Main St,1,1
"July 25, 2017",Florida,Jacksonville,Old Middleburg Rd N and Buttercup St,1,1
