Date,Location,Deaths,Injuries
"January 9, 2014","Jackson, Tennessee",0,1
"January 13, 2014","New Haven, Connecticut",0,1
"January 14, 2014","Roswell, New Mexico",0,3
"January 17, 2014","Philadelphia, Pennsylvania",0,2
"January 20, 2014","Chester, Pennsylvania",0,1
"January 21, 2014","West Lafayette, Indiana",1,0
"January 24, 2014","Orangeburg, South Carolina",1,0
"January 25, 2014","Los Angeles, California",1,0
"January 27, 2014","Carbondale, Illinois",0,1
"January 28, 2014","Nashville, Tennessee",0,1
"January 30, 2014","Palm Bay, Florida",0,1
"January 31, 2014","Des Moines, Iowa",0,1
"February 10, 2014","Salisbury, North Carolina",0,1
"February 10, 2014","Lyndhurst, Ohio",0,0
"February 12, 2014","Los Angeles, California",0,1
"February 22, 2014","Augusta, Georgia",0,1
"March 25, 2014","College Park, Georgia",0,0
"April 11, 2014","Detroit, Michigan",1,0
"May 4, 2014","Augusta, Georgia",0,1
"May 5, 2014","Augusta, Georgia",0,1
"May 8, 2014","Lawrenceville, Georgia",0,1
"May 14, 2014","Richmond, California",0,1
"June 5, 2014","Seattle, Washington",1,3
"June 10, 2014","Troutdale, Oregon",2,1
"September 9, 2014","Miami, Florida",0,1
"September 11, 2014","Taylorsville, Utah",0,1
"September 27, 2014","Terre Haute, Indiana",0,1
"September 30, 2014","Albemarle, North Carolina",0,1
"September 30, 2014","Louisville, Kentucky",0,1
"October 3, 2014","Fairburn, Georgia",1,0
"October 24, 2014","Marysville, Washington",5,1
"November 20, 2014","Tallahassee, Florida",1,3
"November 20, 2014","Miami, Florida",1,1
"December 12, 2014","Portland, Oregon",0,4
