Incident Date,State,City/County,Address,# killed,# injured
"December 28, 2015",New Jersey,Trenton,1900 block of South Clinton Avenue,0,1
"December 28, 2015",Georgia,Atlanta,Fairburn Road and Martin Luther King Jr Boulevard,0,2
"December 27, 2015",Louisiana,Franklin,Dumesnil Rd,0,3
"December 25, 2015",California,Hayward,22808 Grand St,0,2
"December 23, 2015",Texas,Odessa,1030 Custer Avenue,0,3
"December 22, 2015",Kentucky,Covington (Ludlow),106 Elm Street,1,1
"December 20, 2015",Virginia,Richmond,1701 Fairfield Way,0,1
"December 19, 2015",Colorado,Denver (Northglenn),112th and Huron,0,2
"December 18, 2015",Florida,Vero Beach,4300 block of Old Dixie Highway,0,2
"December 17, 2015",Nevada,Las Vegas,9145 Las Vegas Boulevard South,0,1
"December 16, 2015",Tennessee,Elizabethton,433 Dry Hollow Road,0,2
"December 10, 2015",South Carolina,Taylors,1900 Boiling Road Extension,1,1
"December 10, 2015",Georgia,Atlanta,70 Hamilton E Holmes Drive,0,1
"December 10, 2015",Michigan,Detroit,Dacosta Street and Fenkell Street,0,1
"December 8, 2015",Colorado,Denver,Federal Boulevard and 38th Avenue,0,2
"December 8, 2015",Ohio,Cleveland,1200 Ontario St,1,1
"December 6, 2015",Virginia,Emporia,700 block of North Main Street,1,1
"December 6, 2015",Ohio,Cleveland (Richmond Heights),N/A,1,1
"December 5, 2015",Wisconsin,Neenah,206 Main Street,1,1
"December 4, 2015",Nebraska,Big Springs,405 W. Cedar Street,1,1
"December 4, 2015",Maryland,Aberdeen,500 block of Ohio Court,0,1
"December 3, 2015",Minnesota,Rochester,5455 W River Road,1,0
"December 2, 2015",Colorado,Denver,W. 26th Avenue and Osceola Street,1,1
"December 2, 2015",California,San Bernardino,1365 South Waterman Avenue,16,19
"December 1, 2015",Missouri,Anderson,2688 New Bethel Rd,0,1
"November 29, 2015",Texas,Beaumont,7200 block of Firethorn,1,1
"November 29, 2015",Nebraska,Lincoln,2931 N. 73rd Street,1,1
"November 28, 2015",Pennsylvania,New Florence,131 Ligonier St,1,1
"November 27, 2015",Colorado,Colorado Springs,3480 Centennial Blvd,3,9
"November 24, 2015",Pennsylvania,Philadelphia,I-676,0,1
"November 22, 2015",Missouri,Saint Louis,4300 block of College Avenue,0,1
"November 19, 2015",Texas,Dallas,2700 block of Wilbur Street,0,1
"November 18, 2015",Tennessee,Bethpage,800 block of Old Highway 31 East,0,1
"November 18, 2015",California,Downey,10911 Brookshire Avenue,1,0
"November 17, 2015",South Carolina,Cayce,1900 block of Lorick St,1,1
"November 16, 2015",Michigan,Detroit,McCormack and the I-94 service drive,0,3
"November 13, 2015",Georgia,Eden,1200 block of Highway 80,1,1
"November 11, 2015",Maryland,Baltimore,3700 block of Oakmont Ave.,1,1
"November 9, 2015",Pennsylvania,Berwick,Third and Oak Streets,0,2
"November 8, 2015",Colorado,Commerce City,9700 block of Peoria Street,0,1
"November 5, 2015",Oregon,Hillsboro,Southeast Minter Bridge Road and River road,1,1
"November 4, 2015",Mississippi,Braxton,Willow St and Quail Ridge Rd,0,3
"November 4, 2015",North Carolina,Moyock,850 Puddin Ridge Rd,0,1
"November 4, 2015",Kentucky,Richmond,Ballard Drive,1,1
"November 2, 2015",Indiana,Indianapolis,South East Street and Orange Street,0,1
"November 1, 2015",Texas,Houston,200 Hollow Tree Lane,0,1
"November 1, 2015",Texas,Temple,301 East Avenue B,1,0
"November 1, 2015",California,Eureka,4th and Q Street,1,1
"November 1, 2015",Minnesota,Hutchinson,500 block of Harmony Lane,1,1
"October 31, 2015",Michigan,Detroit,8500 block of Orangelawn Street,0,1
"October 30, 2015",Utah,Midvale,150 W. 7200 South,0,2
"October 30, 2015",Texas,San Antonio,8000 block of Midcrown Drive,0,1
"October 29, 2015",Tennessee,Hohenwald,200 block of North Park Street,1,2
"October 29, 2015",Texas,Crosbyton,FM 651,0,1
"October 29, 2015",California,Arcata,Young Lane,0,1
"October 28, 2015",Pennsylvania,Ambridge,Harmony Rd and Beaver Rd,0,1
"October 27, 2015",Colorado,Denver,701 S Rooney Rd,0,1
"October 27, 2015",Georgia,Savannah,37th Street and Ogeechee Road,1,2
"October 27, 2015",Mississippi,Smithville,60021 Sizemore Road,1,1
"October 25, 2015",Louisiana,New Orleans,3300 block of Alvar Street,0,1
"October 24, 2015",Georgia,Talking Rock,1600 block of Carver Mill Road,1,2
"October 24, 2015",Florida,Key West,Sunshine St and Third Ave,0,2
"October 24, 2015",Tennessee,Cookeville (Algood),Burton Branch Rd,0,1
"October 21, 2015",Idaho,Lewiston,1224 F Street,0,2
"October 21, 2015",New Mexico,Albuquerque,Central and Eubank,1,0
"October 20, 2015",Kentucky,Prestonsburg,Abbott Road,0,2
"October 20, 2015",New York,New York (Manhattan),120th Street and FDR Drive,1,1
"October 18, 2015",Minnesota,Saint Cloud,1406 6th Avenue N.,1,0
"October 16, 2015",North Carolina,Charlotte,Wilkinson Boulevard,0,1
"October 16, 2015",Georgia,Winder,Melinda Drive,1,2
"October 12, 2015",Mississippi,Brookhaven,635 Industrial Park Rd NE,1,1
"October 11, 2015",Tennessee,Cordova,2600 block of Longshadow Lane,1,0
"October 11, 2015",South Carolina,Taylors,159 Carver Road,1,2
"October 2, 2015",California,Pasadena,Ramona Street and Garfield Avenue,0,1
"October 1, 2015",Florida,Winter Park,State Road 436,0,2
"October 1, 2015",California,Mariposa,Highway 49,0,2
"September 30, 2015",South Carolina,Columbia,3400 Forest Drive,1,0
"September 28, 2015",District of Columbia,Washington,1300 block of Fort Stevens Dr NW,0,2
"September 25, 2015",Oregon,Cottage Grove,75000 block of London Rd,0,2
"September 23, 2015",New York,New York (Manhattan),111 Centre St.,0,1
"September 22, 2015",Texas,Paris,700 block of DeShong Ave,1,1
"September 22, 2015",Nevada,North Las Vegas,100 block of Spur Ranch Ave,0,2
"September 22, 2015",Florida,Shalimar,Plew Avenue,2,0
"September 21, 2015",California,Seaside (Sand City),2040 California Ave,2,2
"September 20, 2015",Georgia,Grovetown,Baker Place Road,2,0
"September 18, 2015",Georgia,Tucker,3317 Lawrenceville Hwy,0,1
"September 16, 2015",Arizona,Phoenix,12th St and Campbell Ave,0,1
"September 15, 2015",Massachusetts,Ayer,54 Park St,0,1
"September 13, 2015",Oklahoma,Pond Creek,18533 US-81,1,1
"September 13, 2015",Kentucky,Lyon (county),Interstate 24 and KY 139,2,0
"September 11, 2015",Louisiana,New Orleans,3900 block of Hamburg St,1,1
"September 11, 2015",California,West Covina,I-10,0,2
"September 11, 2015",District of Columbia,Washington,50 Massachusetts Ave Ne,1,0
"September 10, 2015",Colorado,Longmont,10916 Weld County Road 5,0,1
"September 10, 2015",Indiana,Indianapolis,4679 Dunsany Ln,1,1
"September 6, 2015",Nevada,Las Vegas,4615 E Tropicana Ave,0,1
"September 4, 2015",Nevada,Las Vegas,6700 block of Oveja Cir,0,2
"September 3, 2015",Washington,Yakima,1210 S 9th St,0,1
