Incident Date,State,City/County,Address,# killed,# injured
"September 1, 2015",Illinois,Fox Lake,Rollins Road and Route 59,1,0
"August 31, 2015",Georgia,Atlanta,1500 block of Boulderwoods Drive,0,2
"August 30, 2015",Pennsylvania,Norwood,600 block of Mohawk Ave,0,2
"August 29, 2015",Texas,San Antonio,Fredericksburg Road,0,1
"August 28, 2015",Utah,Layton,Hill Field Road and SR 193,1,1
"August 28, 2015",Texas,Houston,16050 West Rd,1,0
"August 27, 2015",Texas,Dallas,3600 block of Penelope Street,1,0
"August 26, 2015",Louisiana,Sunset,Anna Street,1,0
"August 25, 2015",Arizona,Phoenix,36th Avenue and McDowell Road,1,0
"August 24, 2015",Mississippi,Monroe (county),Highway 45 Alt.,0,1
"August 23, 2015",Alabama,Cullman (county),County Road 1825,1,1
"August 23, 2015",New York,New York (Manhattan),170 East End Avenue,0,1
"August 23, 2015",Louisiana,Lake Charles,LA-14 and Fruge St,1,0
"August 22, 2015",New York,Troy,112th and Fifth,1,2
"August 21, 2015",Indiana,Indianapolis,10000 block of Baribeau Lane,0,1
"August 20, 2015",Florida,Cocoa (Port Saint John),1000 block of Covina St,0,1
"August 19, 2015",Mississippi,Corinth,Bell School Road,0,1
"August 17, 2015",Arizona,Tucson,350 North Wilmot Road,0,1
"August 16, 2015",Oklahoma,Tulsa,East Reading Street and North Sheridan Road,1,1
"August 15, 2015",Nevada,Carson City,4100 block of Montez Drive,2,0
"August 15, 2015",Oklahoma,Oklahoma City (Midwest City),6821 South 29th Street,2,0
"August 14, 2015",Arizona,Phoenix,44th Avenue and Union Hills Drive,0,1
"August 14, 2015",New York,Staten Island,15 Destiny Court,1,1
"August 13, 2015",New York,Bronx,Rodmans Neck Road,0,1
"August 13, 2015",Florida,Thonotosassa,9400 block of Greystone Road,0,1
"August 12, 2015",Texas,Harris (county),12900 block of Meadow Run Drive,1,1
"August 11, 2015",Texas,Odessa,42nd and Andrews Highway,1,2
"August 8, 2015",North Carolina,Gastonia,4908 Greenwood Drive,2,3
"August 7, 2015",Florida,Panama City,N/A,0,1
"August 5, 2015",Virginia,Richmond,2200 block of West Cary,1,1
"August 5, 2015",California,Pittsburg,500 block of East 12th Street,0,2
"August 5, 2015",Louisiana,Shreveport,3500 block of Del Rio Street,1,0
"August 5, 2015",Georgia,Stockbridge,Engine Run,0,1
"August 4, 2015",Texas,Austin,4800 Shaw Lane,0,1
"August 2, 2015",California,Oakland,3800 block of Martin Luther King Way,1,1
"August 1, 2015",Wisconsin,Milwaukee,North 13th and West Cottage,0,2
"August 1, 2015",California,Weldon,N/A,0,2
"August 1, 2015",Tennessee,Memphis,Summerlane Avenue,1,0
"July 31, 2015",New Mexico,Roswell,3000 block of North Main Street,1,1
"July 30, 2015",Missouri,Saint Louis,Broadway and Howard,0,1
"July 28, 2015",Texas,Arlington,N/A,0,2
"July 24, 2015",Illinois,Chicago,2200 block of East 69th Street,0,1
"July 22, 2015",California,Hayward,Lion St and Myrtle St,1,1
"July 22, 2015",Pennsylvania,Philadelphia,800 block of Riverside Drive,1,1
"July 16, 2015",Tennessee,Chattanooga,4051 Amnicola Highway,6,2
"July 16, 2015",Texas,Dallas,Singleton and Hampton,0,5
"July 15, 2015",Texas,Houston,9250 Park Row Place,1,0
"July 14, 2015",Missouri,Saint Louis,Maryland and Euclid Avenue,0,1
"July 13, 2015",New York,Elmsford,5 Payne Rd,0,1
"July 13, 2015",Hawaii,Waimea,53-4200 block of Akoni Pule Hwy,0,2
"July 12, 2015",Georgia,Stone Mountain,5130 East Ponce de Leon Avenue,1,1
"July 12, 2015",Illinois,River Forest,116 Lathrop Avenue,2,3
"July 12, 2015",North Carolina,Charlotte,Morehead Street,0,2
"July 11, 2015",Texas,Fort Worth (Saginaw),1400 block of Saginaw Boulevard,0,2
"July 10, 2015",Nevada,Las Vegas,5600 block of West Sahara Avenue,1,1
"July 9, 2015",Nevada,Yavapai (county),N/A,0,1
"July 9, 2015",Arizona,Ash Fork,N/A,0,1
"July 8, 2015",Illinois,Mounds,902 Third Street,0,2
"July 8, 2015",Oregon,Beaverton,10405 SW Denny Road,1,1
"July 7, 2015",Texas,Fort Bend (county),Cobblestone Court,0,1
"July 4, 2015",California,Oroville,Oro Dam Boulevard,0,2
"July 4, 2015",Tennessee,Memphis,1400 block of Sardis Street,0,3
"July 2, 2015",Arkansas,Little Rock,Jan Drive,0,1
"July 1, 2015",New Jersey,Camden,Kenwood Avenue,0,1
"June 22, 2015",North Carolina,Jonesville,775 N River Ridge Rd,1,3
"June 20, 2015",Louisiana,New Orleans,Elysian Fields and N Claiborne Ave,1,0
"June 19, 2015",Wisconsin,Milwaukee,60th St and Hustis St,0,1
"June 19, 2015",Ohio,Cincinnati,Whetsel Ave and Roe St,2,1
"June 18, 2015",Illinois,Champaign,N/A,0,1
"June 17, 2015",South Carolina,Beaufort (Ladys Island),58 Westminster Pl,0,1
"June 15, 2015",Mississippi,Marshall (county),Winding Creek Dr,0,1
"June 15, 2015",Louisiana,Shreveport,3200 block of West Bert Kouns Industrial Loop,0,1
"June 14, 2015",Florida,Cocoa,4445 State Road 520,1,1
"June 14, 2015",California,Long Beach,3030 East Artesia Blvd,0,2
"June 12, 2015",South Carolina,Spartanburg,Houston St,0,1
"June 11, 2015",Texas,San Antonio,6800 block of Honeyridge Ln,1,2
"June 9, 2015",Texas,Houston,4201 Main St,0,1
"June 9, 2015",Texas,Houston,4201 Main St,0,1
"June 6, 2015",Michigan,Detroit,Chalmers Ave and Rosemary St,0,2
"May 29, 2015",Georgia,Newton (county),200 block of Lower River Road,0,1
"May 28, 2015",Colorado,Denver (Northglenn),10909 E. 109th Place,1,1
"May 28, 2015",Oklahoma,Nowata (county),U.S. 169,0,1
"May 27, 2015",Tennessee,Memphis,4100 block of Eastwind Drive,0,1
"May 26, 2015",Louisiana,Bossier City,200 John Wesley Blvd,1,1
"May 25, 2015",New Mexico,Rio Rancho,3351 Southern Blvd SE,1,1
"May 24, 2015",Louisiana,New Orleans,Erato St and Freret St,1,0
"May 23, 2015",Michigan,Detroit,13000 block of Strathmoor St,1,1
"May 23, 2015",Arizona,Eagar,135 N Main St,1,2
"May 22, 2015",Arizona,Tempe,N Scottsdale Rd and E Mc Kellips Rd,0,1
"May 21, 2015",Louisiana,Monroe,3034 US-80,0,1
"May 20, 2015",Nebraska,Omaha,30th and Martin,2,0
"May 20, 2015",Tennessee,Knoxville,3207 Magnolia Avenue,0,1
"May 19, 2015",Pennsylvania,Lancaster,305 E Chestnut St,1,1
"May 17, 2015",Florida,Saint Petersburg (St Petersburg),5236 Robin Lane N,1,2
"May 17, 2015",California,San Diego,Annrae Street and Mesa College Drive,1,1
"May 17, 2015",Mississippi,Jackson,Northside Drive and Bailey Avenue,0,1
"May 16, 2015",Michigan,Boyne City,S Addis Rd and Dam Rd,0,2
"May 16, 2015",Michigan,Boyne City,Addis Road,0,1
"May 15, 2015",Arkansas,Johnson (county),County Road 1723,1,1
"May 15, 2015",Texas,Amarillo,3001 Snowball Trail,0,1
"May 14, 2015",South Carolina,Moncks Corner,101 N Highway 52,0,1
"May 9, 2015",Mississippi,Hattiesburg,East Fourth and Bouie,2,0
"May 8, 2015",Colorado,Littleton,5390 S Santa Fe Dr.,1,1
"May 8, 2015",Indiana,Gary,1100 block of Virginia Street,0,1
"May 6, 2015",Alaska,Tuluksak,N/A,0,3
"May 6, 2015",North Carolina,Concord,4300 block of Irish Potato Road,0,1
"May 5, 2015",Idaho,Coeur D Alene (Coeur D'alene),2800 block of W Wilbur Ave,1,0
"May 3, 2015",Texas,Garland,4999 Naaman Forest Blvd,2,1
"May 3, 2015",Illinois,Chicago,300 block of West 103rd Place,0,2
"May 2, 2015",North Carolina,Cornelius,19400 block of Coachmans Trace,0,1
"May 2, 2015",New York,Queens,Hollis Avenue and 212th Street,1,0
"April 23, 2015",Oklahoma,Rufe,182 North 4430 Road,1,2
"April 23, 2015",Pennsylvania,Philadelphia,51st and Master,0,2
"April 23, 2015",Oklahoma,Rufe,182 N 4430 Rd,1,2
"April 20, 2015",California,Fresno,West Hayes and South Central Avenues,0,1
"April 20, 2015",California,Delano,2737 West Cecil Avenue,0,1
"April 18, 2015",Arizona,Phoenix,20th Street and Thomas Road,1,1
"April 17, 2015",California,Sacramento,500 block of I street,0,1
"April 17, 2015",New York,North Tonawanda (Wheatfield),6871 Errick Road,1,3
"April 16, 2015",Louisiana,Paradis,Louisiana St. and U.S. 90,0,1
"April 15, 2015",Illinois,Edwardsville,322 S. Fillmore St.,0,2
"April 12, 2015",Indiana,Indianapolis,3800 block of East 31st Street,1,2
"April 10, 2015",Maryland,Annapolis,703 E. College Parkway,0,1
"April 9, 2015",District of Columbia,Washington,1100 block of H Street,1,2
"April 9, 2015",Maryland,Suitland,4600 Silver Hill Rd,1,1
"April 6, 2015",Florida,Ocala,11120 NW Gainesville Rd,1,0
"April 3, 2015",Louisiana,Slidell,First St and Cousin St,0,1
"April 2, 2015",Texas,Houston,West Belfort,0,1
"April 2, 2015",Tennessee,Memphis,900 block of Hester Road,0,1
"March 31, 2015",South Carolina,West Columbia,300 block of Hudson Street,0,1
"March 27, 2015",Massachusetts,Boston,Humboldt Avenue,1,2
"March 26, 2015",Arizona,Phoenix,67th Avenue and Indian School Road,0,2
"March 24, 2015",Wisconsin,Fond Du Lac,100 block of North Berger Parkway,2,0
"March 24, 2015",California,San Jose,2600 block of Senter Road,2,0
"March 21, 2015",Arizona,Cottonwood,2003 East Rodeo Drive,1,2
"March 21, 2015",New York,Holley,NY 31A,1,1
"March 20, 2015",Missouri,Chesterfield,N/A,0,1
"March 20, 2015",Louisiana,Kenner,900 Airline Drive,1,1
"March 19, 2015",New Jersey,Elizabeth,1170 McClester Street,0,2
"March 19, 2015",Arizona,Red Valley,SR 13,2,2
"March 18, 2015",Pennsylvania,Plymouth Meeting,Belvoir Road,0,1
"March 18, 2015",Arizona,Phoenix,N/A,0,1
"March 17, 2015",Texas,Onalaska,13710 US Hwy 190 W,1,3
"March 15, 2015",California,Los Angeles,65th Street and Broadway,0,2
"March 14, 2015",Georgia,Roberta,9471 US 80,0,2
"March 12, 2015",Missouri,Ferguson,222 S Florissant Road,0,2
"March 11, 2015",New York,Huntington Station,11 Mercer Court,0,1
"March 10, 2015",Louisiana,Baton Rouge,10064 Elm Grove Garden Drive,2,0
"March 6, 2015",Florida,Melrose,Putnam Loop Rd,1,1
"March 5, 2015",Virginia,Shenandoah,127 N West Turn Rd.,0,2
"March 5, 2015",Pennsylvania,Philadelphia,2101 West Lehigh Avenue,1,1
"March 4, 2015",Kansas,Kansas City,4400 block of of Shawnee Drive,0,1
"March 4, 2015",Georgia,Fairburn,7200 block of Parks Trail,1,2
"March 3, 2015",Florida,Lake Wales,743 Hillside Ave,0,3
"February 28, 2015",California,Merced,21st and H street,0,2
"February 28, 2015",Texas,Houston,Irvington and Yorkshire,0,1
"February 22, 2015",Georgia,Clarkesville,281 Lower Pond Court,3,2
"February 21, 2015",Minnesota,Minneapolis,1100 block of 24th Avenue North,0,1
"February 19, 2015",Texas,Corpus Christi,N/A,0,3
"February 19, 2015",California,San Diego,400 block of Alta Rd,0,1
"February 19, 2015",Texas,Corpus Christi,3001 Churchill St.,0,3
"February 18, 2015",Illinois,Bridgeview,10220 South 76th Avenue,0,1
"February 17, 2015",New York,Brooklyn,9720 Kings Highway,0,1
"February 15, 2015",Mississippi,Iuka,1110 Battleground Dr,1,1
"February 14, 2015",Maryland,Baltimore,702 and Hyde Park Road,1,1
"February 12, 2015",Virginia,Isle Of Wight County,8700 block of Smithfield Apartments Lane,0,1
"February 11, 2015",Michigan,Norway,118 West 11th Street,0,2
"February 10, 2015",Tennessee,Memphis,4500 block of Aldridge Road,1,1
"February 9, 2015",Michigan,Highland Park,200 block of Candler,0,1
"February 9, 2015",Oklahoma,Sulphur,12th and Broadway Street,0,3
"February 8, 2015",Florida,Orlando,4501 Hoffner Ave,1,1
"February 6, 2015",West Virginia,Anmoore,Trovato Street,1,2
"February 6, 2015",Florida,Winter Haven,2286 Executive Road South,1,1
"February 6, 2015",Oklahoma,Oklahoma City,SW 62nd Klein,1,1
"February 6, 2015",Florida,North Miami Beach,Northeast 160th Avenue and 8th Avenue,0,1
"February 5, 2015",Massachusetts,Buzzards Bay (Bourne),Round House Rd,1,2
"February 3, 2015",Arkansas,Faulkner County,1200 block of Clifton Street,0,1
"February 2, 2015",Michigan,Bay City,1600 block of 3rd Street,1,1
"January 29, 2015",Michigan,Wyoming,232 block of Himes Street SE,1,1
"January 29, 2015",Texas,Fort Worth,4800 block of Hildring Dr E,1,1
"January 28, 2015",Texas,Harris County,12800 block of East Freeway,0,2
"January 26, 2015",Missouri,Springfield,Glenstone Avenue and Chestnut Expressway,0,1
"January 26, 2015",Minnesota,Minneapolis (New Hope),4401 Xylon Avenue North,1,2
"January 26, 2015",Arizona,Morenci,U.S. Highway 191,1,2
"January 23, 2015",Michigan,Flint,G3277 Miller Rd,0,2
"January 23, 2015",Texas,Waco,3201 E State Highway 6,0,1
"January 21, 2015",Florida,Key Largo,N/A,0,2
"January 21, 2015",Mississippi,Robinsonville,3468 Casino Way,1,0
"January 20, 2015",Louisiana,Donaldsonville,N/A,0,1
"January 15, 2015",Indiana,Indianapolis,East 38th St and Mitthoeffer Rd,1,1
"January 15, 2015",Oklahoma,Sentinel,205 S 4,0,1
"January 9, 2015",New Mexico,Albuquerque,Central and Tramway,0,1
"January 7, 2015",South Dakota,Kimball,24732 360th Ave.,0,1
"January 6, 2015",Texas,Pampa,North Nelson St.,0,2
"January 5, 2015",New York,Bronx,E. 184th Street,0,3
"January 3, 2015",New Mexico,Albuquerque,San Mateo and Montgomery,0,1
"January 2, 2015",Minnesota,Saint Paul,Lyton Place and Park Street,0,1
"January 2, 2015",Virginia,Richmond,4400 block of Fulton Street,0,2
"January 1, 2015",West Virginia,Lewisburg,Interstate 64 near Lewisburg exit,0,3
