Date,Location,Deaths,Injuries
"January 22, 2016","Indianapolis, Indiana",0,1
"January 29, 2016","Philadelphia, Pennsylvania",0,0
"February 9, 2016","Muskegon Heights, Michigan",0,4
"February 12, 2016","Glendale, Arizona",2,0
"February 29, 2016","Middletown, Ohio",0,4
"April 23, 2016","Antigo, Wisconsin",1,2
"June 1, 2016","Los Angeles, California",3,0
"June 8, 2016","Dorchester, Boston",1,3
"September 9, 2016","Alpine, Texas",1,2
"September 28, 2016","Townville, South Carolina",2,2
"October 11, 2016","Mobile, Alabama",0,1
"October 13, 2016","Columbus, Ohio",0,2
"October 18, 2016","San Francisco, California",0,4
"October 25, 2016","Sandy, Utah",0,1
"December 1, 2016","Bountiful, Utah",0,0
