Date,Location,Deaths,Injuries
"January 20, 2017","West Liberty, Ohio",0,1
"January 20, 2017","Seattle, Washington",0,1
"January 27, 2017","Naperville, Illinois",1,0
"March 21, 2017","King City, California",0,1
"April 10, 2017","San Bernardino, California",3,1
"May 4, 2017","Irving, Texas",2,0
"September 13, 2017","Rockford, Washington",1,3
"September 20, 2017","Mattoon, Illinois",0,1
"November 13, 2017","Albany, Georgia",0,2
"November 14, 2017","Rancho Tehama Reserve, California",6,18
"December 7, 2017","Aztec, New Mexico",3,0
