Date,Location,Deaths,Injuries
"January 10, 2013","Taft, California",0,2
"January 12, 2013","Detroit, Michigan",0,1
"January 15, 2013","St. Louis, Missouri",0,2
"January 15, 2013","Hazard, Kentucky",3,0
"January 16, 2013","Chicago, Illinois",1,0
"January 22, 2013","Houston, Texas",0,3
"January 31, 2013","Phoenix, Arizona",0,0
"January 31, 2013","Atlanta, Georgia",0,2
"March 18, 2013","Orlando, Florida",1,0
"April 12, 2013","Christiansburg, Virginia",0,2
"April 16, 2013","Grambling, Louisiana",0,3
"April 18, 2013","Cambridge, Massachusetts",1,0
"May 14, 2013","Birmingham, Alabama",0,0
"June 7, 2013","Santa Monica, California",6,4
"August 20, 2013","Decatur, Georgia",0,0
"August 23, 2013","Sardis, Mississippi",1,2
"August 30, 2013","Winston-Salem, North Carolina",0,1
"October 4, 2013","Pine Hills, Florida",0,2
"October 21, 2013","Sparks, Nevada",2,2
"November 2, 2013","Greensboro, North Carolina",0,1
"November 3, 2013","Lithonia, Georgia",0,2
"November 13, 2013","Pittsburgh, Pennsylvania",0,3
"December 4, 2013","Winter Garden, Florida",0,1
"December 13, 2013","Centennial, Colorado",2,0
"December 19, 2013","Fresno, California",0,1
