Incident Date,State,City/County,Address,# killed,# injured
"December 31, 2018",Ohio,Cleveland,4462 Denison Ave,3,2
"December 29, 2018",Ohio,Lima,904 S Main St,1,3
"December 28, 2018",Missouri,Saint Charles,150 Whetstone Dr,4,1
"December 24, 2018",Louisiana,Lutcher,2176 Main St,2,2
"December 23, 2018",Missouri,Springfield,1042 W College St,0,7
"December 22, 2018",Nevada,Las Vegas,3528 S Maryland Pkwy,0,4
"December 18, 2018",Maryland,Baltimore,3942 Park Heights Ave,0,5
"December 15, 2018",Florida,Miami,239 NW 16th St,0,5
"December 14, 2018",Colorado,Colorado Springs,700 block of Geiger Ct,1,3
"December 13, 2018",Pennsylvania,Philadelphia,4505 N Broad St,0,4
"December 11, 2018",Louisiana,Natchitoches,Caspari St and University Pkwy,1,3
"December 9, 2018",North Carolina,Laurinburg,Lees Mill Rd,1,3
"December 9, 2018",Wisconsin,Madison,3554 E Washington Ave,0,4
"December 8, 2018",California,Inglewood,801 S Inglewood Ave,0,5
"December 8, 2018",New York,Corona (Queens),89-25 130th St,0,5
"December 1, 2018",Florida,Miami,NW Fifth Ave and NW Eighth St,0,5
"November 26, 2018",Tennessee,Powell,Tammy Dr,0,4
"November 25, 2018",Alabama,Demopolis,Floyd St and Field St,2,2
"November 25, 2018",Texas,Houston,4500 block of Yale St,1,3
"November 25, 2018",California,Oakland,1000 block of 24th St,0,4
"November 23, 2018",Florida,Miami,5801 NW 27th Ave,2,5
"November 22, 2018",Indiana,Fort Wayne,6100 block of Downingtown Dr,3,2
"November 21, 2018",Missouri,Saint Louis,4200 block of Shreve Ave,0,4
"November 19, 2018",Pennsylvania,Philadelphia,5100 block of Malcolm St,4,0
"November 19, 2018",Colorado,Denver,1200 21st Street,1,4
"November 18, 2018",California,Los Angeles (Watts),95th St and Defiance Ave,1,4
"November 16, 2018",Arkansas,Little Rock,4405 W 14th St,3,1
"November 14, 2018",Louisiana,Baton Rouge,4800 block of Gus Young Ave,3,1
"November 13, 2018",New Mexico,Gallup,CR 1 and Defiance Draw Rd,4,1
"November 13, 2018",Indiana,Indianapolis,2007 Blue Pine Ln,2,2
"November 12, 2018",North Carolina,Dunn,4640 Woods Crossroads Rd,3,1
"November 11, 2018",Arizona,Globe,598 N Broad St,3,1
"November 7, 2018",California,Thousand Oaks,99 Rolling Oaks Dr,13,2
"November 3, 2018",New York,Watertown,136 Franklin St,0,5
"November 2, 2018",California,Long Beach (North Long Beach),5800 block of Brayton Ave,0,4
"November 2, 2018",Florida,Tallahassee,1950 Thomasville Rd,3,5
"November 1, 2018",Minnesota,Minneapolis,3400 block of Girard Ave N,0,5
"November 1, 2018",Missouri,Springfield,906 E Locust St,2,2
"October 31, 2018",Michigan,Detroit,19000 block of Langholm St,1,3
"October 30, 2018",California,Vallejo,Woodrow Ave and Reis Ave,2,3
"October 30, 2018",California,Los Angeles,65th Place and Vermont Avenue,0,5
"October 29, 2018",California,Riverside,3252 Mission Inn Ave,0,7
"October 28, 2018",Arkansas,El Dorado,2 Whites Quarters,2,2
"October 27, 2018",Tennessee,Memphis,4275 Lady Slipper Ln,0,5
"October 27, 2018",Pennsylvania,Pittsburgh,5898 Wilkins Ave,11,7
"October 26, 2018",New Jersey,Jersey City,77 Brinkerhoff St,1,3
"October 24, 2018",Illinois,Chicago,6200 block of S King Dr,0,5
"October 22, 2018",Illinois,Chicago,9231 S Cottage Grove Av,0,6
"October 21, 2018",Washington,Lakewood,8722 S Tacoma Way,1,3
"October 21, 2018",Florida,Jacksonville,900 block of A Philip Randolph Blvd,1,5
"October 16, 2018",Georgia,Atlanta,Broad St,0,4
"October 15, 2018",Tennessee,Columbia,1075 Carters Creek Pike,5,0
"October 14, 2018",Nevada,Las Vegas,2815 W Lake Mead Blvd,3,1
"October 14, 2018",Texas,Fort Worth,5310 E Rosedale St,0,4
"October 14, 2018",California,Palo Alto (East Palo Alto),2500 block of Pulgas Ave,2,2
"October 13, 2018",Missouri,Saint Louis,400 block of Midlothian Road,0,4
"October 13, 2018",Texas,Taft,511 Wilburn St,4,1
"October 12, 2018",South Carolina,Spartanburg,1620 John B White Sr Blvd,0,6
"October 12, 2018",Nevada,Las Vegas,6500 block of W Charleston Blvd,0,4
"October 8, 2018",Alabama,Birmingham,Joppa Ave,0,4
"October 6, 2018",Oklahoma,Tulsa,9453 E 31st St,0,4
"October 6, 2018",Texas,Houston,6802 Cullen Blvd,1,3
"October 6, 2018",California,Oakland,Williams St and Telegraph Ave,0,6
"October 4, 2018",New Mexico,Espanola (Española),1813 N Riverside Dr,1,3
"October 4, 2018",Georgia,Swainsboro,Lucky St,0,4
"October 3, 2018",Pennsylvania,Philadelphia,5101 Germantown Ave,1,4
"October 3, 2018",South Carolina,Florence,932 Ashton Dr,2,6
"October 1, 2018",Illinois,Chicago,500 block of S Michigan Ave,2,2
"September 30, 2018",California,Compton,200 block N Long Beach Blvd,1,3
"September 29, 2018",Florida,Orlando,1700 block of 24th St,1,4
"September 28, 2018",Pennsylvania,Philadelphia,5100 block of Haverford Ave,2,2
"September 24, 2018",Tennessee,Memphis,1528 Ragan St,3,2
"September 23, 2018",California,Bakersfield,2600 block of Chandler Court,1,4
"September 23, 2018",California,Baldwin Park,3700 block of Loma Lane,0,4
"September 22, 2018",District of Columbia,Washington,1800 block of Benning Rd,0,4
"September 22, 2018",New York,Hempstead,Dolan St,0,4
"September 20, 2018",Maryland,Aberdeen,1501 Perryman Rd,4,3
"September 20, 2018",New York,Syracuse,1317 Midland Ave,0,5
"September 19, 2018",Wisconsin,Middleton,1850 Deming Way,1,4
"September 19, 2018",Illinois,Chicago,W Cermak Rd and S State St,0,4
"September 19, 2018",Pennsylvania,Masontown,1 E Church St,1,4
"September 18, 2018",Louisiana,New Orleans (Algiers),1100 block of Sumner St,0,4
"September 18, 2018",Tennessee,Memphis,4622 Faronia Rd,0,4
"September 17, 2018",Maryland,Silver Spring,123 Amberleigh Dr,4,1
"September 15, 2018",Wisconsin,Milwaukee,820 S 21st St,0,4
"September 12, 2018",California,Bakersfield,660 Manwell Blvd,6,0
"September 11, 2018",Illinois,Chicago,10600 block of S Bensley Avenue,0,4
"September 10, 2018",Tennessee,Memphis,140 Lt George W Lee Ave,0,5
"September 9, 2018",Alabama,Auburn,224 W Magnolia St,1,4
"September 9, 2018",Florida,Jacksonville,N/A,0,4
"September 9, 2018",Illinois,Elgin,550 S McLean Blvd,1,3
"September 7, 2018",Minnesota,Minneapolis,2024 N Washington Ave,1,3
"September 6, 2018",Ohio,Cincinnati,511 Walnut St,4,2
"September 4, 2018",Georgia,Albany,1200 block of Gillespie Ave,0,4
"September 2, 2018",Arkansas,Fort Smith,801 Garrison Ave,0,4
"September 2, 2018",Texas,San Antonio,600 block of Morningview St,0,4
"September 2, 2018",Alabama,Birmingham,500 23rd St S,0,7
"September 2, 2018",New Jersey,Paterson,43 12th Ave,2,2
"September 2, 2018",California,San Bernardino,1277 East Lynwood Drive,0,8
"September 2, 2018",New Jersey,Trenton,Stuyvesant Ave and Bryn Mawr Ave,0,4
"September 1, 2018",Ohio,Cleveland,3232 Lakeside Ave East,1,7
"September 1, 2018",Florida,Fort Lauderdale (Lauderhill),5225 NW 24th Ct,1,3
"August 31, 2018",Colorado,Aurora,1900 block of Peoria St,2,3
"August 27, 2018",Arkansas,Pine Bluff,2600 block of W 34th Ave,1,3
"August 26, 2018",Florida,Jacksonville,2 Independent Dr,3,9
"August 26, 2018",Texas,Wichita Falls,2400 block of Sheppard Access Rd,1,3
"August 25, 2018",Virginia,Richmond,4 N 18th St,0,5
"August 25, 2018",Tennessee,Nashville,1564 9th Ave N,1,4
"August 23, 2018",Pennsylvania,Philadelphia,5800 block of Oakland St,0,4
"August 23, 2018",Maryland,Baltimore,1700 block of Homestead St,0,4
"August 22, 2018",Missouri,Saint Louis,I-64 and Jefferson Ave,0,4
"August 21, 2018",Tennessee,Memphis,2119 E Alcy Rd,0,4
"August 20, 2018",Tennessee,Jackson,60 Heritage Square,1,4
"August 20, 2018",Ohio,Cleveland,E 94th St and Kinsman Rd,1,3
"August 19, 2018",Illinois,Chicago,7400 block of S Dante Ave,0,5
"August 18, 2018",New York,Bronx,925 Allerton Ave,0,4
"August 17, 2018",Illinois,Chicago,1600 block of W 65th St,0,7
"August 15, 2018",South Carolina,Greenwood,Mimosa Ct,0,5
"August 14, 2018",Pennsylvania,Wyncote,1000 S Easton Rd,0,5
"August 12, 2018",California,Clearlake,4786 Yarrington Ct,4,1
"August 12, 2018",Pennsylvania,Pittsburgh (East Liberty),5600 block of Broad St,0,4
"August 11, 2018",Ohio,Columbus,1280 Summit St,0,4
"August 11, 2018",California,San Francisco,Geneva St and Mission St,1,4
"August 11, 2018",Colorado,Thornton,4050 E 100th Ave,1,3
"August 10, 2018",Missouri,Saint Louis,1515 N 13th St,0,4
"August 10, 2018",Michigan,Detroit,6300 block of Vinewood St,0,4
"August 8, 2018",New Jersey,Paterson,Mercer St and Franklin St,0,4
"August 8, 2018",Pennsylvania,Philadelphia,North 12th Street and West Huntingdon Street,2,4
"August 5, 2018",Illinois,Chicago,1 block of N Leclaire Ave,1,4
"August 5, 2018",Illinois,Chicago,900 block of S Karlov Ave,0,4
"August 5, 2018",Illinois,Chicago,1600 block of S Avers Ave,0,4
"August 5, 2018",Illinois,Chicago,1300 block of W 76th St,0,8
"August 5, 2018",Illinois,Chicago,1300 block of S Millard Ave,1,5
"August 4, 2018",Missouri,Kansas City,E 18th St and Highland Ave,0,6
"August 4, 2018",Nevada,Las Vegas,3400 block of Coran Ln,0,6
"August 4, 2018",Illinois,Chicago,1600 block of N Leclaire Ave,1,3
"August 4, 2018",Wisconsin,Milwaukee,40th St and Vliet St,0,4
"July 31, 2018",California,Gardena,1212 West 135th Street,2,3
"July 30, 2018",Georgia,Savannah,12328 Largo Dr,0,4
"July 30, 2018",Illinois,Chicago,1200 block of S Avers Ave,0,4
"July 29, 2018",Pennsylvania,York,100 block of E Maple St,0,4
"July 29, 2018",Arizona,Phoenix,2501 E Van Buren St,1,4
"July 29, 2018",Michigan,Lansing,Spring and River Street,0,4
"July 28, 2018",Louisiana,New Orleans,3400 S Claiborne Ave,3,7
"July 28, 2018",California,Los Angeles,8801 S Vermont Ave,2,4
"July 27, 2018",Illinois,Chicago,1100 block of S Troy St,0,4
"July 27, 2018",Texas,Robstown,603 East Avenue J,5,0
"July 26, 2018",Ohio,Cleveland,18416 St Clair Ave,1,6
"July 26, 2018",California,Oakland,73rd Ave and Bancroft Ave,2,2
"July 26, 2018",Texas,Dallas,3019 South Blvd,0,6
"July 25, 2018",Louisiana,New Orleans,7000 block of Bullard Ave,0,4
"July 23, 2018",Illinois,Chicago,6400 block of S May St,0,5
"July 21, 2018",Maryland,Baltimore,1000 block of Dundalk Ave,0,4
"July 21, 2018",Illinois,Chicago,3100 block of W Fulton St,2,5
