Incident Date,State,City/County,Address,# killed,# injured
"December 29, 2018",Nebraska,Lincoln,3200 block of S 48th St,0,2
"December 26, 2018",Florida,Clearwater,1444 Gulf To Bay Blvd,1,1
"December 26, 2018",California,Newman,520 Merced St,1,0
"December 24, 2018",Texas,Mcallen,3200 block of Guadalupe Street,0,1
"December 23, 2018",Georgia,Decatur,3900 Block of Fireoak Dr,0,2
"December 16, 2018",Kansas,Kansas City,400 block of N 18th St,1,1
"December 15, 2018",California,San Leandro,15555 E 14th St suite 366,0,1
"December 13, 2018",New York,Brooklyn,2860 W 23rd St,0,1
"December 13, 2018",Georgia,Decatur,2300 block of Candler Rd,1,0
"December 12, 2018",California,Bakersfield,300 block of McCord Ave,0,2
"December 11, 2018",Texas,Houston,5013 Hartwick Rd,1,3
"December 11, 2018",Texas,El Paso,Clark Dr and Alameda Ave,0,1
"December 11, 2018",Georgia,Calhoun,312 N Wall St,1,1
"December 11, 2018",Arkansas,Jonesboro,607 Gladiolus Dr,1,0
"December 9, 2018",Oklahoma,Seminole (county),N/A,1,0
"December 9, 2018",Louisiana,Metairie,6401 Veterans Memorial Blvd,0,1
"December 9, 2018",New York,Staten Island,30 Bridge Court,1,1
"December 9, 2018",California,Tulare,W Tulare Ave and Palm St,1,2
"December 8, 2018",New York,Brooklyn,9302 Ave N,0,2
"December 6, 2018",Georgia,Mcdonough,378 Jonesboro Rd,2,0
"December 1, 2018",Louisiana,Monroe,700 block of Miller St,0,1
"December 1, 2018",Indiana,Indianapolis,6901 W 38th St,0,1
"November 29, 2018",Arizona,Tucson,2600 block of N 15th Ave,1,0
"November 28, 2018",Arkansas,Mount Vernon,100 Meadow Ln,0,1
"November 25, 2018",Florida,Daytona Beach,Martin Luther King Blvd and South St,0,1
"November 25, 2018",Missouri,Hazelwood,I-270 and N Lindbergh Blvd,0,2
"November 22, 2018",South Carolina,Ridgeland,1800 block of Bees Creek Rd,1,2
"November 22, 2018",Tennessee,Oakland,6715 US-64,0,1
"November 21, 2018",Georgia,Mcdonough,GA 20,0,2
"November 21, 2018",Alabama,Talladega,214 Haynes St,2,2
"November 20, 2018",Illinois,Chicago,87th Street and Paulina,0,2
"November 20, 2018",New York,Cortlandt Manor,183 Watch Hill Rd,0,1
"November 19, 2018",Missouri,Benton (county),N/A,0,1
"November 19, 2018",Illinois,Chicago,2525 S Michigan Ave,4,0
"November 15, 2018",California,Oroville,CA 70 and Pentz Rd,1,0
"November 14, 2018",Virginia,Max Meadows (Fort Chiswell),926 Max Meadows Rd,1,1
"November 12, 2018",Texas,Fort Worth,4700 block of Cattlebaron Rd,0,1
"November 11, 2018",California,Madera,28000 block of Avenue 15 3/4,0,1
"November 8, 2018",Alabama,Mobile,3500 Cottage Hill Rd,0,1
"November 7, 2018",Pennsylvania,Philadelphia,G St and Madison St,0,2
"November 7, 2018",California,Thousand Oaks,99 Rolling Oaks Dr,13,2
"November 4, 2018",Michigan,Saint Clair Shores,26211 Harper Ave,1,0
"November 3, 2018",Ohio,Cleveland,2600 block of E 121st St,0,2
"November 1, 2018",Texas,La Grange,243 Ellinger Rd,0,1
"October 31, 2018",North Carolina,Snow Hill,N/A,0,2
"October 30, 2018",Illinois,Chicago,3200 block of W Argyle St,0,1
"October 29, 2018",Arizona,Tempe,Mill Avenue and Baseline Road,1,2
"October 28, 2018",Colorado,Denver,4800 block of W 10th Ave,0,2
"October 27, 2018",Pennsylvania,Pittsburgh,5898 Wilkins Ave,11,7
"October 23, 2018",California,Sacramento,N/A,1,0
"October 20, 2018",Georgia,Snellville,Shiloh Rd,2,0
"October 18, 2018",California,Adelanto,18125 Bellflower St,0,1
"October 18, 2018",Georgia,Cartersville,I-75,1,1
"October 17, 2018",Tennessee,Memphis,2774 S Mendenhall Rd,1,1
"October 17, 2018",North Carolina,Whiteville,US 701 and Sellers Town Rd,1,0
"October 16, 2018",Illinois,Joliet,200 block of Richard St,0,2
"October 15, 2018",North Carolina,Autryville,Maxwell Rd,0,2
"October 15, 2018",Ohio,Jeffersonville,10160 Carr Rd,1,1
"October 10, 2018",Kentucky,Owensboro,522 Hathaway St,0,1
"October 9, 2018",Texas,Sugar Land,3700 block of Lakeridge Canyon Dr,1,1
"October 7, 2018",New York,Rochester,N/A,0,1
"October 6, 2018",New York,Rochester,N/A,0,1
"October 6, 2018",Virginia,Lynchburg,2000 block of Hughes Ave,0,2
"October 5, 2018",Tennessee,Nashville,2400 Buena Vista Pike,1,1
"October 4, 2018",Virginia,Richmond,6020 W Broad St,0,1
"October 3, 2018",South Carolina,Florence,932 Ashton Dr,2,6
"September 29, 2018",Mississippi,Brookhaven,630 North 6th Street,2,1
"September 24, 2018",California,Los Angeles,1000 block of De Garmo Dr,1,1
"September 23, 2018",Alabama,Selma,Broad St and Furniss Ave,0,1
"September 23, 2018",Massachusetts,Boston,89 W Springfield St,0,1
"September 23, 2018",Maryland,Baltimore,800 block of Vine St,1,1
"September 21, 2018",Idaho,Firth,735 N 600 E,0,1
"September 20, 2018",Indiana,South Bend,700 block of S Main St,0,1
"September 19, 2018",Pennsylvania,Masontown,1 E Church St,1,4
"September 19, 2018",California,Los Angeles (East Los Angeles),3864 Whittier Boulevard,1,3
"September 19, 2018",Maryland,District Heights (Forestville),2700 block of Lorring Dr,0,2
"September 19, 2018",Texas,Rio Grande City,US 83 and Alvarez Rd,0,1
"September 17, 2018",California,Rancho Cordova,10899 Folsolm Blvd,1,3
