Date,Location,Deaths,Injuries
"January 25, 2019","Mobile, Alabama",0,2
"January 31, 2019","Memphis, Tennessee",0,1
"February 8, 2019",Baltimore,0,1
"February 12, 2019","Kansas City, Missouri",1,0
"February 14, 2019","Rio Rancho, New Mexico",0,0
"February 26, 2019","Montgomery, Alabama",0,1
"March 22, 2019","Blountsville, Alabama",0,1
"April 1, 2019","Prescott, Arkansas",0,1
"April 25, 2019","DeKalb County, Georgia",0,10
"April 25, 2019","Texas City, Texas",0,3
"April 30, 2019","Charlotte, North Carolina",2,4
"May 6, 2019","Riverview, Florida",0,0
"May 7, 2019","Highlands Ranch, Colorado",1,8
"May 7, 2019","Savannah, Georgia",0,1
"May 9, 2019","Pickens County, South Carolina",0,0
