Incident Date,State,City/County,Address,# killed,# injured
"December 30, 2014",Arizona,Phoenix,N 43rd Ave and W Cactus Rd,0,2
"December 27, 2014",Arizona,Flagstaff,804 W Clay Ave,2,0
"December 21, 2014",California,Arvin,1500 block of Bear Mountain Blvd,0,1
"December 21, 2014",Florida,Tarpon Springs,199 Grand Blvd,1,0
"December 20, 2014",New York,Brooklyn,Myrtle Ave and Tompkins Ave,3,0
"December 19, 2014",Texas,Burleson,100 N Burleson St,0,2
"December 19, 2014",Missouri,Saint Louis,3800 block of N 25th St,1,1
"December 17, 2014",New York,Bronx,2023 Seward Ave,0,1
"December 14, 2014",Maryland,Baltimore,2600 block of Gwynns Falls Pkwy,0,1
"December 14, 2014",Tennessee,Nashville,825 Long Hunter Ct,1,1
"December 13, 2014",Missouri,Liberty (Pleasant Valley),I-35 and US-69,0,1
"December 12, 2014",Colorado,Denver,W 40th Ave and Bryant St,0,1
"December 12, 2014",Georgia,Decatur,4373 Glenwood Rd,0,3
"December 5, 2014",Virginia,Virginia Beach,2125 General Booth Blvd,0,1
"December 5, 2014",Ohio,Columbus,3712 Collet Ct,0,1
"December 3, 2014",Georgia,Riverdale,6603 Church St,0,1
"December 2, 2014",Kentucky,Florence,7937 Dream St,1,1
"December 1, 2014",Oklahoma,Oklahoma City,NW 12th and N Rockwell Ave,1,2
"December 1, 2014",Texas,Mcallen,S McColl Rd and Orangewood Dr,0,1
"November 26, 2014",Georgia,Eatonton,943 Crooked Creek Dr,0,2
"November 26, 2014",Missouri,Saint Louis (Hanley Hills),1800 block of N Hanley Rd,1,2
"November 26, 2014",Missouri,Versailles,18500 block of Second St,1,1
"November 25, 2014",California,Yuba City,Winslow Dr and Clark Ave,0,2
"November 24, 2014",Missouri,Saint Louis (University City),7449 Wayne Ave,1,1
"November 23, 2014",Mississippi,Gulfport,46th Ave and 20th St,0,1
"November 23, 2014",California,West Covina,1417 W Badillo St,2,0
"November 22, 2014",Florida,Tallahassee,3722 Caracus Ct,2,1
"November 22, 2014",California,Sonora,S Washington St and Theall St,1,2
"November 20, 2014",Arizona,Phoenix,33rd Ave and Roosevelt St,1,1
"November 18, 2014",North Carolina,Fayetteville,4713 Rosehill Rd,1,1
"November 16, 2014",Washington,Deming,5765 Mosquito Lake Rd,1,1
"November 16, 2014",Ohio,Akron,1891 E Market St,1,4
"November 14, 2014",Massachusetts,Revere,N/A,0,1
"November 14, 2014",Colorado,Aurora,1700 block of Fulton St,0,1
"November 13, 2014",Connecticut,Groton,1 Crystal Lake Rd,0,1
"November 13, 2014",California,Downey,1000 block of E Rialto Ave,1,1
"November 5, 2014",Pennsylvania,Darby,104 Lafayette Ave,0,2
"November 5, 2014",New Jersey,East Orange,N Oraton Pky,0,1
"November 5, 2014",Ohio,Newark,N 11th St,0,1
"November 2, 2014",Missouri,El Dorado Springs,Hickory St and High St,2,0
"October 28, 2014",California,San Gabriel,100 block of San Marino Ave,1,1
"October 28, 2014",New Mexico,Las Cruces,705 S Telshor Blvd,1,0
"October 27, 2014",Mississippi,Brooksville,1236 Fairview Rd,0,2
"October 24, 2014",California,Sacramento,2030 Arden Way,2,2
"October 20, 2014",South Carolina,Orangeburg,131 Snapover Ln,0,1
"October 20, 2014",Texas,El Paso,8100 block of North Loop,1,1
"October 17, 2014",Illinois,Chicago,Lake St and N Kostner Ave,0,1
"October 17, 2014",Arkansas,Leslie,423 Main St,1,1
"October 16, 2014",Illinois,Mchenry,1311 W NE Shore Dr,1,1
"October 15, 2014",Washington,Marysville,Grove St and 67th Ave NE,0,2
"October 11, 2014",Ohio,Cleveland,Ottawa Rd and E 71st St,0,2
"October 11, 2014",Arizona,Kaibeto,N/A,0,2
"October 9, 2014",Texas,Midland,3800 N County Road 1247,1,0
"October 8, 2014",Arizona,Phoenix,1624 N Black Canyon Hwy,0,2
"October 8, 2014",Oklahoma,Oklahoma City,3200 S Prospect Ave,1,4
"October 7, 2014",Illinois,Chicago,7200 block of S Lowe Ave,1,2
"October 7, 2014",Nevada,Las Vegas,W Carey Ave and Revere St,1,1
"October 5, 2014",Colorado,Fort Collins,2601 Davidson Dr,1,1
"October 5, 2014",Alabama,Montgomery,3801 Eastern Blvd,0,1
"October 3, 2014",Iowa,Sioux City,1600 block of W 3rd St,1,1
"October 2, 2014",Georgia,Decatur,3630 Camp Cir,1,1
"September 30, 2014",Georgia,Athens,1989 Winterville Rd,1,1
"September 30, 2014",Pennsylvania,Conshohocken,1175 Conshohocken Rd,1,0
"September 27, 2014",Missouri,Saint Louis (Ferguson),1000 block of Stein Rd,0,1
"September 27, 2014",District of Columbia,Washington,2300 block of Ainger Place SE,1,2
"September 18, 2014",Minnesota,Crookston,28409 300th St SW,0,3
"September 16, 2014",Washington,Duvall,26526 NE Cherry Valley Rd,0,1
"September 14, 2014",Louisiana,New Orleans,1040 Elysian Fields Ave,1,2
"September 13, 2014",Georgia,Juliette,111 Haley Ln,1,2
"September 12, 2014",Pennsylvania,Hawley,434 PA-402,1,1
"September 11, 2014",Louisiana,Lafayette,1408 W Willow St,0,2
"September 9, 2014",Louisiana,Gretna,932 Westbank Expy,0,3
"September 8, 2014",South Carolina,Charleston,1840 Carriage Ln,2,2
"September 7, 2014",Missouri,Saint Louis,5800 block of Eagle Valley Dr,0,1
"September 7, 2014",Kansas,Topeka,6th St and Deer Creek Trafficway,1,0
"September 7, 2014",Nevada,Las Vegas,Carey Ave,1,1
"September 5, 2014",Indiana,Merrillville,8219 Lincoln Cir,2,0
"September 3, 2014",New York,Rochester,955 Hudson St,1,3
"September 1, 2014",South Carolina,Greenville,4 McGee St,1,1
"August 31, 2014",New York,Brooklyn,Gates Ave and Marcus Garvey Blvd,1,1
"August 31, 2014",Georgia,Athens,355 Jennings Mill Pkwy,0,1
"August 28, 2014",Michigan,Essexville,520 W Hampton Rd,1,1
"August 27, 2014",Oregon,Klamath Falls,Bisbee St,0,1
"August 26, 2014",California,Compton,12230 Santa Fe Ave,1,1
"August 23, 2014",Iowa,West Union,112 Jefferson St,1,1
"August 23, 2014",Texas,Elmendorf,1st Ave and 9th St,1,0
"August 22, 2014",California,San Bernardino,1900 block of Garner Ave,1,1
"August 20, 2014",Arkansas,Fayetteville,12397 S Whitehouse Rd,1,1
"August 19, 2014",Pennsylvania,Philadelphia,Torresdale Ave and Magee Ave,1,1
"August 19, 2014",Illinois,Harvey,14700 block of Seeley Ave,0,2
"August 19, 2014",Florida,Orlando,118 S Orange Ave,1,2
"August 18, 2014",California,Los Angeles,3700 block of Grand Ave,1,1
"August 17, 2014",North Carolina,Charlotte,400 block of Kingville Dr,0,3
"August 12, 2014",Mississippi,Philadelphia (Choctaw),N/A,1,1
"August 9, 2014",California,Huntington Park (Walnut Park),Pacific Blvd and Grand Ave,1,1
"August 8, 2014",Texas,Odessa,3226 W 10th St,0,2
"August 8, 2014",Texas,De Kalb,200 block of NW Pecan St,1,1
"August 8, 2014",Mississippi,Southaven,1800 block of Coral Hills,0,1
"August 5, 2014",Virginia,Hudgins,180 block of Ballast Point Rd,1,0
"August 4, 2014",North Carolina,Forest City,171 Oak Forest Dr,0,2
"July 31, 2014",Michigan,Essexville,520 W Hampton Rd,0,2
"July 30, 2014",North Carolina,Hope Mills,926 Bramblegate Rd,2,3
"July 30, 2014",New Jersey,Newark,303 Clinton Ave,0,2
"July 30, 2014",Minnesota,Saint Paul,Dodd Rd and Smith Ave S,1,0
"July 29, 2014",Illinois,Nokomis,1498 E 350 North Rd,1,1
"July 28, 2014",Illinois,Chicago,1600 N Marshfield Ave,1,1
"July 28, 2014",New York,New York (Manhattan),177 W 4th St,1,3
"July 24, 2014",Washington,Seattle,2301 S Jackson St,0,2
"July 22, 2014",Texas,La Joya,9 1/2 St and Leo Ave,1,2
"July 13, 2014",New Jersey,Jersey City,2395 John F. Kennedy Blvd,1,0
"July 10, 2014",Georgia,Douglas,441 North,0,2
"July 10, 2014",Ohio,Columbus,2850 Petzinger Rd,1,1
"July 9, 2014",Michigan,Flint,422 E Sherman Ave,1,1
"July 6, 2014",Indiana,Gary,2600 Jackson St,1,0
